,Year,Jurisdiction,Sector,Use of funds,Age group,Gender,Dollars per capita
60480,2014,Newfoundland and Labrador,Provincial/territorial government,Total,0,F,10762.0
60481,2014,Newfoundland and Labrador,Provincial/territorial government,Total,1,F,1708.0
60482,2014,Newfoundland and Labrador,Provincial/territorial government,Total,5,F,1642.0
60483,2014,Newfoundland and Labrador,Provincial/territorial government,Total,10,F,1568.0
60484,2014,Newfoundland and Labrador,Provincial/territorial government,Total,15,F,2187.0
60485,2014,Newfoundland and Labrador,Provincial/territorial government,Total,20,F,2503.0
60486,2014,Newfoundland and Labrador,Provincial/territorial government,Total,25,F,3136.0
60487,2014,Newfoundland and Labrador,Provincial/territorial government,Total,30,F,3418.0
60488,2014,Newfoundland and Labrador,Provincial/territorial government,Total,35,F,2979.0
60489,2014,Newfoundland and Labrador,Provincial/territorial government,Total,40,F,2900.0
60490,2014,Newfoundland and Labrador,Provincial/territorial government,Total,45,F,3326.0
60491,2014,Newfoundland and Labrador,Provincial/territorial government,Total,50,F,3711.0
60492,2014,Newfoundland and Labrador,Provincial/territorial government,Total,55,F,4390.0
60493,2014,Newfoundland and Labrador,Provincial/territorial government,Total,60,F,5181.0
60494,2014,Newfoundland and Labrador,Provincial/territorial government,Total,65,F,6897.0
60495,2014,Newfoundland and Labrador,Provincial/territorial government,Total,70,F,9538.0
60496,2014,Newfoundland and Labrador,Provincial/territorial government,Total,75,F,15032.0
60497,2014,Newfoundland and Labrador,Provincial/territorial government,Total,80,F,22100.0
60498,2014,Newfoundland and Labrador,Provincial/territorial government,Total,85,F,41578.0
60499,2014,Newfoundland and Labrador,Provincial/territorial government,Total,90,F,46549.0
60500,2014,Newfoundland and Labrador,Provincial/territorial government,Total,0,M,12822.0
60501,2014,Newfoundland and Labrador,Provincial/territorial government,Total,1,M,1841.0
60502,2014,Newfoundland and Labrador,Provincial/territorial government,Total,5,M,1685.0
60503,2014,Newfoundland and Labrador,Provincial/territorial government,Total,10,M,1556.0
60504,2014,Newfoundland and Labrador,Provincial/territorial government,Total,15,M,1674.0
60505,2014,Newfoundland and Labrador,Provincial/territorial government,Total,20,M,1798.0
60506,2014,Newfoundland and Labrador,Provincial/territorial government,Total,25,M,1879.0
60507,2014,Newfoundland and Labrador,Provincial/territorial government,Total,30,M,2069.0
60508,2014,Newfoundland and Labrador,Provincial/territorial government,Total,35,M,2241.0
60509,2014,Newfoundland and Labrador,Provincial/territorial government,Total,40,M,2417.0
60510,2014,Newfoundland and Labrador,Provincial/territorial government,Total,45,M,2820.0
60511,2014,Newfoundland and Labrador,Provincial/territorial government,Total,50,M,3478.0
60512,2014,Newfoundland and Labrador,Provincial/territorial government,Total,55,M,4706.0
60513,2014,Newfoundland and Labrador,Provincial/territorial government,Total,60,M,5904.0
60514,2014,Newfoundland and Labrador,Provincial/territorial government,Total,65,M,7845.0
60515,2014,Newfoundland and Labrador,Provincial/territorial government,Total,70,M,11186.0
60516,2014,Newfoundland and Labrador,Provincial/territorial government,Total,75,M,15108.0
60517,2014,Newfoundland and Labrador,Provincial/territorial government,Total,80,M,21479.0
60518,2014,Newfoundland and Labrador,Provincial/territorial government,Total,85,M,31589.0
60519,2014,Newfoundland and Labrador,Provincial/territorial government,Total,90,M,36152.0
60520,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,0,F,9255.0
60521,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,1,F,439.0
60522,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,5,F,303.0
60523,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,10,F,317.0
60524,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,15,F,828.0
60525,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,20,F,935.0
60526,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,25,F,1331.0
60527,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,30,F,1521.0
60528,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,35,F,1095.0
60529,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,40,F,958.0
60530,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,45,F,1180.0
60531,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,50,F,1457.0
60532,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,55,F,1908.0
60533,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,60,F,2481.0
60534,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,65,F,3439.0
60535,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,70,F,4709.0
60536,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,75,F,7233.0
60537,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,80,F,8934.0
60538,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,85,F,13572.0
60539,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,90,F,15476.0
60540,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,0,M,11290.0
60541,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,1,M,547.0
60542,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,5,M,316.0
60543,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,10,M,314.0
60544,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,15,M,485.0
60545,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,20,M,554.0
60546,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,25,M,565.0
60547,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,30,M,680.0
60548,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,35,M,751.0
60549,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,40,M,873.0
60550,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,45,M,1131.0
60551,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,50,M,1549.0
60552,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,55,M,2486.0
60553,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,60,M,3317.0
60554,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,65,M,4524.0
60555,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,70,M,6600.0
60556,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,75,M,8582.0
60557,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,80,M,11222.0
60558,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,85,M,14094.0
60559,2014,Newfoundland and Labrador,Provincial/territorial government,Hospitals,90,M,16562.0
60560,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,0,F,0.0
60561,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,1,F,0.0
60562,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,5,F,0.0
60563,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,10,F,0.0
60564,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,15,F,2.0
60565,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,20,F,3.0
60566,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,25,F,5.0
60567,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,30,F,6.0
60568,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,35,F,4.0
60569,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,40,F,4.0
60570,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,45,F,103.0
60571,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,50,F,129.0
60572,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,55,F,169.0
60573,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,60,F,220.0
60574,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,65,F,533.0
60575,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,70,F,1494.0
60576,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,75,F,4037.0
60577,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,80,F,9154.0
60578,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,85,F,23722.0
60579,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,90,F,26901.0
60580,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,0,M,0.0
